Date,MR_CAC,MR_FFIC,MR_FISI,MR_MOFG,Mom_CAC,Mom_FFIC,Mom_FISI,Mom_MOFG,VB_CAC,VB_FFIC,VB_FISI,VB_MOFG,XSR_CAC,XSR_FFIC,XSR_FISI,XSR_MOFG,Val_CAC,Val_FFIC,Val_FISI,Val_MOFG
2015-11-09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-17,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-30,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-02,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-03,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0
2015-12-09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0
2015-12-10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
2015-12-11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.0
2015-12-15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0
2015-12-16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0
2015-12-17,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,0.0,0.0,0.0,0.0
2015-12-18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0
2015-12-21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.5,0.0,0.0,0.0,0.0
2015-12-22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0
2015-12-23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.0
2015-12-24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0
2015-12-28,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
2015-12-29,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.0
2015-12-30,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,1.0,0.0,0.0,0.0,0.0
2015-12-31,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0
2016-01-04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.0
2016-01-06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.0
2016-01-07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
2016-01-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.5,0.0,0.0,0.0,0.0
2016-01-11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0
2016-01-12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0
2016-01-13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.5,0.0,0.0,0.0,0.0
2016-01-14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0
2016-01-15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
2016-01-19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.0
2016-01-20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,0.0
2016-01-21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.5,0.0,0.0,0.0,0.0
2016-01-22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.5,0.0,0.0,0.0,0.0
2016-01-25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,0.5,0.0,0.0,0.0,0.0
2016-01-27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,1.0,0.0,0.0,0.0,0.0
2016-01-28,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-29,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0
2016-02-01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0
2016-02-02,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,0.0,0.0,0.0,0.0
2016-02-03,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
2016-02-04,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0
2016-02-05,1.0,-1.0,-1.0,1.0,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0
2016-02-08,0.9446692309478818,-0.9446692309478818,-0.9446692309478818,0.9446692309478818,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.0
2016-02-09,0.7814184552822131,-0.7814184552822131,-0.7814184552822131,0.7814184552822131,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0
2016-02-10,0.5064149184617472,-0.5064149184617472,-0.5064149184617472,0.5064149184617472,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,-0.5,0.0,0.0,0.0,0.0
2016-02-11,0.6794266105112735,-0.6794266105112735,-0.6794266105112735,0.6794266105112735,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0
2016-02-12,0.7690913039079126,-0.7690913039079126,-0.7690913039079126,0.7690913039079126,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,0.0,0.0,0.0,0.0
2016-02-16,1.0,-1.0,-1.0,1.0,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-17,0.8676728605298799,-0.8676728605298799,-0.8676728605298799,0.8676728605298799,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0
2016-02-18,1.0,-1.0,-1.0,1.0,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,1.0,0.0,0.0,0.0,0.0
2016-02-19,1.0,-1.0,-1.0,1.0,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,-0.5,0.0,0.0,0.0,0.0
2016-02-22,0.8665536017228801,-0.8665536017228801,-0.8665536017228801,0.8665536017228801,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.0
2016-02-23,0.9582680202759439,-0.9582680202759439,-0.9582680202759439,0.9582680202759439,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
2016-02-24,0.8544181293586329,-0.8544181293586329,-0.8544181293586329,0.8544181293586329,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,0.8893276912368833,-0.8893276912368833,-0.8893276912368833,0.8893276912368833,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.75,0.75,0.0,0.0,0.0,0.0
2016-02-26,0.7585724252871607,-0.7585724252871607,-0.7585724252871607,0.7585724252871607,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,0.0
2016-02-29,0.7092013125211534,-0.7092013125211534,-0.7092013125211534,0.7092013125211534,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0
2016-03-01,0.718024313199859,-0.718024313199859,-0.718024313199859,0.718024313199859,-0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,0.5,0.0,0.0,0.0,0.0
