Date,Cumulative_Return,Daily_Return
2015-11-09,1.0,0.0
2015-11-10,1.0,0.0
2015-11-11,1.0,0.0
2015-11-12,1.0,0.0
2015-11-13,1.0,0.0
2015-11-16,1.0,0.0
2015-11-17,1.0,0.0
2015-11-18,1.0,0.0
2015-11-19,1.0,0.0
2015-11-20,1.0,0.0
2015-11-23,1.0,0.0
2015-11-24,1.0,0.0
2015-11-25,1.0,0.0
2015-11-27,1.0,0.0
2015-11-30,1.0,0.0
2015-12-01,1.0,0.0
2015-12-02,1.0,0.0
2015-12-03,1.0,0.0
2015-12-04,1.0,0.0
2015-12-07,1.0,0.0
2015-12-08,1.0,0.0
2015-12-09,0.9822557291844559,-0.017744270815544083
2015-12-10,0.9681941509057317,-0.014315598128808338
2015-12-11,0.9341460348470099,-0.03516662027638806
2015-12-14,0.9424856303888856,0.008927507296267123
2015-12-15,0.9530624204568581,0.011222229524717964
2015-12-16,0.9596580512583107,0.00692046046500383
2015-12-17,0.9596864350191271,2.9576952727206063e-05
2015-12-18,0.9589150610085145,-0.0008037771322642051
2015-12-21,0.9627774596943734,0.004027884056588604
2015-12-22,0.9693375158769021,0.0068136786091888
2015-12-23,0.9774342766396378,0.008352880838838672
2015-12-24,0.9961111657549072,0.019108076687753828
2015-12-28,0.9829724959136777,-0.013189963422679085
2015-12-29,0.9987483014068266,0.016049081290402833
2015-12-30,1.0105142214407583,0.01178066587683646
2015-12-31,1.033022773518263,0.022274354580990252
2016-01-04,1.064114298941468,0.030097618581353625
2016-01-05,1.0892031800460393,0.023577242716810054
2016-01-06,1.0827089534483247,-0.005962364705398793
2016-01-07,1.0846162062372502,0.0017615563100785714
2016-01-08,1.0705784335378314,-0.012942617507181176
2016-01-11,1.0607200660688978,-0.00920844952607136
2016-01-12,1.0524031036366557,-0.007840864614794496
2016-01-13,1.058220892051953,0.0055280988769355055
2016-01-14,1.0505925364746325,-0.00720866090871497
2016-01-15,1.0442007351532465,-0.006083996506232925
2016-01-19,1.0535870690877926,0.008989012953690922
2016-01-20,1.0470974457036404,-0.006159551094121696
2016-01-21,1.053584025216737,0.006194819345335945
2016-01-22,1.0789287141077875,0.024055688283463494
