Date,Weight_AXSM,Weight_EXEL,Pos_AXSM,Pos_EXEL,Close_AXSM,Close_EXEL
2015-11-09,0.0,0.0,0.0,0.0,8.739999771118164,6.099999904632568
2015-11-10,0.0,0.0,0.0,0.0,8.739999771118164,6.329999923706055
2015-11-11,0.0,0.0,0.0,0.0,8.739999771118164,5.739999771118164
2015-11-12,0.0,0.0,0.0,0.0,8.739999771118164,5.420000076293945
2015-11-13,0.0,0.0,0.0,0.0,8.739999771118164,5.400000095367432
2015-11-16,0.0,0.0,0.0,0.0,8.739999771118164,5.480000019073486
2015-11-17,0.0,0.0,0.0,0.0,8.739999771118164,5.639999866485596
2015-11-18,0.0,0.0,0.0,0.0,8.739999771118164,5.800000190734863
2015-11-19,0.0,0.0,0.0,0.0,8.739999771118164,5.579999923706055
2015-11-20,0.0,0.0,0.0,0.0,9.06999969482422,5.449999809265137
2015-11-23,0.0,0.0,0.0,0.0,9.0600004196167,5.550000190734863
2015-11-24,0.0,0.0,0.0,0.0,9.199999809265137,5.5
2015-11-25,0.0,0.0,0.0,0.0,8.819999694824219,5.489999771118164
2015-11-27,0.0,0.0,0.0,0.0,9.1899995803833,5.46999979019165
2015-11-30,0.0,0.0,0.0,0.0,8.829999923706055,5.71999979019165
2015-12-01,0.0,0.0,0.0,0.0,8.729999542236328,5.760000228881836
2015-12-02,0.0,0.0,0.0,0.0,8.789999961853027,5.639999866485596
2015-12-03,0.0,0.0,0.0,0.0,8.600000381469727,5.360000133514404
2015-12-04,0.0,0.0,0.0,0.0,8.600000381469727,5.400000095367432
2015-12-07,0.0,0.0,0.0,0.0,8.550000190734863,5.159999847412109
2015-12-08,-0.5,0.5,-1.0,1.0,8.6899995803833,5.139999866485596
2015-12-09,-0.5,0.5,-1.0,1.0,8.670000076293945,4.809999942779541
2015-12-10,0.5,-0.5,1.0,-1.0,8.579999923706055,5.019999980926514
2015-12-11,-0.5,0.5,-1.0,1.0,8.449999809265137,4.789999961853027
2015-12-14,0.5,-0.5,1.0,-1.0,8.25,4.880000114440918
2015-12-15,-0.5,0.5,-1.0,1.0,8.350000381469727,4.889999866485596
2015-12-16,0.5,-0.5,1.0,-1.0,8.282999992370605,5.090000152587891
2015-12-17,-0.5,0.5,-1.0,1.0,8.5,5.03000020980835
2015-12-18,-0.5,0.5,-1.0,1.0,9.109999656677246,4.989999771118164
2015-12-21,0.5,-0.5,1.0,-1.0,9.050000190734863,4.980000019073486
2015-12-22,-0.5,0.5,-1.0,1.0,9.149999618530272,4.989999771118164
