Date,Cluster,Ticker,Action,Shares_Qty,Close,Final_Weight,Position,Score_MR,Score_Mom,Score_VB,Score_XSR,Score_Val
2015-11-09,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.14,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-09,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,17.77,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-10,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.34,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-10,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,17.54,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-11,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.35,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-11,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,17.4,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.02,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,17.18,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-13,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.24,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-13,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,17.32,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-16,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.21,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-16,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,17.78,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-17,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,16.21,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-17,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,18.05,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-18,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.84,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-18,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,18.71,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-19,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.82,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-19,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,18.48,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-20,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,WAIT,0,15.9,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-20,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,WAIT,0,18.7,0.0,0.0,,0.0,0.0,0.0,0.0
