Date,Weight_MTSI,Weight_POWI,Pos_MTSI,Pos_POWI,Close_MTSI,Close_POWI
2015-11-09,0.0,0.0,0.0,0.0,34.5099983215332,23.28413772583008
2015-11-10,0.0,0.0,0.0,0.0,33.4900016784668,22.89705276489257
2015-11-11,0.0,0.0,0.0,0.0,33.09000015258789,23.010900497436523
2015-11-12,0.0,0.0,0.0,0.0,32.209999084472656,22.64659118652344
2015-11-13,0.0,0.0,0.0,0.0,32.099998474121094,22.81507873535156
2015-11-16,0.0,0.0,0.0,0.0,31.540000915527344,22.910717010498047
2015-11-17,0.0,0.0,0.0,0.0,31.540000915527344,22.86518096923828
2015-11-18,0.0,0.0,0.0,0.0,32.79999923706055,23.489063262939453
2015-11-19,0.0,0.0,0.0,0.0,35.75,23.44351959228516
2015-11-20,0.0,0.0,0.0,0.0,37.16999816894531,23.60746955871582
2015-11-23,0.0,0.0,0.0,0.0,35.849998474121094,22.91526985168457
2015-11-24,0.0,0.0,0.0,0.0,35.36000061035156,23.12019920349121
2015-11-25,0.0,0.0,0.0,0.0,36.58000183105469,23.1841049194336
2015-11-27,0.0,0.0,0.0,0.0,36.31999969482422,23.371261596679688
2015-11-30,0.0,0.0,0.0,0.0,36.95000076293945,23.5994930267334
2015-12-01,0.0,0.0,0.0,0.0,36.72999954223633,23.6816520690918
2015-12-02,0.0,0.0,0.0,0.0,36.65999984741211,23.58579444885254
2015-12-03,0.0,0.0,0.0,0.0,36.70000076293945,23.170408248901367
2015-12-04,0.0,0.0,0.0,0.0,36.5099983215332,23.79120826721192
2015-12-07,0.0,0.0,0.0,0.0,35.13999938964844,23.270828247070312
2015-12-08,-0.5,0.5,-1.0,1.0,35.43000030517578,22.901094436645508
2015-12-09,-0.5,0.5,-1.0,1.0,35.88999938964844,22.408103942871094
2015-12-10,-0.5,0.5,-1.0,1.0,37.34000015258789,22.604389190673828
2015-12-11,-0.5,0.5,-1.0,1.0,36.81999969482422,21.88316345214844
2015-12-14,-0.5,0.5,-1.0,1.0,37.13999938964844,21.4677734375
2015-12-15,-0.5,0.5,-1.0,1.0,37.470001220703125,21.52712059020996
2015-12-16,0.5,-0.5,1.0,-1.0,36.970001220703125,21.8740348815918
2015-12-17,-0.5,0.5,-1.0,1.0,38.040000915527344,21.832948684692383
2015-12-18,-0.5,0.5,-1.0,1.0,38.7400016784668,21.6184139251709
2015-12-21,0.5,-0.5,1.0,-1.0,38.970001220703125,22.06574821472168
2015-12-22,-0.5,0.5,-1.0,1.0,39.77000045776367,22.517656326293945
2015-12-23,-0.5,0.5,-1.0,1.0,39.95000076293945,22.490264892578125
2015-12-24,-0.5,0.5,-1.0,1.0,41.09999847412109,22.919353485107425
2015-12-28,0.5,-0.5,1.0,-1.0,41.25,23.047164916992188
2015-12-29,-0.5,0.5,-1.0,1.0,42.16999816894531,23.366682052612305
2015-12-30,-0.5,0.5,-1.0,1.0,41.7599983215332,22.964996337890625
2015-12-31,-0.5,0.5,-1.0,1.0,40.88999938964844,22.198129653930664
2016-01-04,0.5,-0.5,1.0,-1.0,39.5,21.88772773742676
2016-01-05,0.5,-0.5,1.0,-1.0,38.20000076293945,21.759912490844727
2016-01-06,-0.5,0.5,-1.0,1.0,37.650001525878906,20.58222389221192
2016-01-07,0.5,-0.5,1.0,-1.0,36.130001068115234,20.249000549316406
2016-01-08,0.5,-0.5,1.0,-1.0,34.77000045776367,20.344865798950195
2016-01-11,-0.5,0.5,-1.0,1.0,35.38999938964844,20.682653427124023
2016-01-12,-0.5,0.5,-1.0,1.0,37.97999954223633,20.52745246887207
2016-01-13,0.5,-0.5,1.0,-1.0,36.11000061035156,19.787960052490234
2016-01-14,-0.5,0.5,-1.0,1.0,36.68000030517578,19.733192443847656
2016-01-15,0.5,-0.5,1.0,-1.0,35.54999923706055,19.504955291748047
2016-01-19,-0.5,0.5,-1.0,1.0,36.18000030517578,19.58711624145508
2016-01-20,-0.5,0.5,-1.0,1.0,37.630001068115234,19.911211013793945
2016-01-21,-0.5,0.5,-1.0,1.0,39.27999877929688,19.892953872680664
2016-01-22,-0.5,0.5,-1.0,1.0,40.900001525878906,20.17596435546875
