Date,Weight_CRTO,Weight_STGW,Pos_CRTO,Pos_STGW,Close_CRTO,Close_STGW
2015-11-09,0.0,0.0,0.0,0.0,37.52999877929688,18.94804000854492
2015-11-10,0.0,0.0,0.0,0.0,37.40999984741211,19.67977523803711
2015-11-11,0.0,0.0,0.0,0.0,37.4900016784668,20.170804977416992
2015-11-12,0.0,0.0,0.0,0.0,38.59000015258789,19.958988189697266
2015-11-13,0.0,0.0,0.0,0.0,38.9900016784668,20.036012649536133
2015-11-16,0.0,0.0,0.0,0.0,38.59000015258789,20.979564666748047
2015-11-17,0.0,0.0,0.0,0.0,38.83000183105469,20.35373878479004
2015-11-18,0.0,0.0,0.0,0.0,38.5099983215332,20.47890281677246
2015-11-19,0.0,0.0,0.0,0.0,37.619998931884766,20.10340690612793
2015-11-20,0.0,0.0,0.0,0.0,38.900001525878906,20.170804977416992
2015-11-23,0.0,0.0,0.0,0.0,37.84000015258789,20.39225196838379
2015-11-24,0.0,0.0,0.0,0.0,38.43999862670898,20.170804977416992
2015-11-25,0.0,0.0,0.0,0.0,39.56999969482422,20.401880264282227
2015-11-27,0.0,0.0,0.0,0.0,39.7599983215332,20.401880264282227
2015-11-30,0.0,0.0,0.0,0.0,40.7599983215332,20.74848937988281
2015-12-01,0.0,0.0,0.0,0.0,40.93000030517578,21.181753158569336
2015-12-02,0.0,0.0,0.0,0.0,40.93000030517578,21.143239974975582
2015-12-03,0.0,0.0,0.0,0.0,39.4900016784668,21.01807403564453
2015-12-04,0.0,0.0,0.0,0.0,40.560001373291016,20.73886108398437
2015-12-07,0.0,0.0,0.0,0.0,41.29999923706055,20.719606399536133
2015-12-08,-0.5,0.5,-1.0,1.0,40.54999923706055,20.835140228271484
2015-12-09,0.5,-0.5,1.0,-1.0,41.09000015258789,20.969934463500977
2015-12-10,0.5,-0.5,1.0,-1.0,41.650001525878906,21.191381454467773
2015-12-11,-0.5,0.5,-1.0,1.0,39.27000045776367,21.02770233154297
2015-12-14,-0.5,0.5,-1.0,1.0,39.06999969482422,20.998817443847656
2015-12-15,-0.5,0.5,-1.0,1.0,38.91999816894531,20.95067977905273
2015-12-16,-0.5,0.5,-1.0,1.0,38.900001525878906,21.33580017089844
2015-12-17,-0.5,0.5,-1.0,1.0,37.93999862670898,20.8640251159668
2015-12-18,0.5,-0.5,1.0,-1.0,39.0,20.632951736450195
2015-12-21,0.5,-0.5,1.0,-1.0,39.86000061035156,20.51741409301757
2015-12-22,-0.5,0.5,-1.0,1.0,39.93000030517578,20.74848937988281
2015-12-23,-0.5,0.5,-1.0,1.0,40.0099983215332,21.191381454467773
2015-12-24,-0.5,0.5,-1.0,1.0,40.0,21.25877571105957
2015-12-28,-0.5,0.5,-1.0,1.0,39.5099983215332,21.239521026611328
2015-12-29,0.5,-0.5,1.0,-1.0,40.59000015258789,21.557247161865234
2015-12-30,-0.5,0.5,-1.0,1.0,39.83000183105469,21.249147415161133
2015-12-31,0.5,-0.5,1.0,-1.0,39.59999847412109,20.91216468811035
2016-01-04,0.5,-0.5,1.0,-1.0,38.5099983215332,20.14192008972168
2016-01-05,-0.5,0.5,-1.0,1.0,37.84999847412109,20.31522560119629
2016-01-06,-0.5,0.5,-1.0,1.0,36.4900016784668,20.21894645690918
2016-01-07,0.5,-0.5,1.0,-1.0,34.93000030517578,19.323535919189453
2016-01-08,-0.5,0.5,-1.0,1.0,34.13999938964844,18.9769229888916
2016-01-11,-0.5,0.5,-1.0,1.0,33.29999923706055,18.572547912597656
2016-01-12,-0.5,0.5,-1.0,1.0,32.47999954223633,18.351099014282227
2016-01-13,0.5,-0.5,1.0,-1.0,31.39999961853028,17.561595916748047
2016-01-14,-0.5,0.5,-1.0,1.0,30.81999969482422,18.428123474121094
2016-01-15,-0.5,0.5,-1.0,1.0,29.5,17.92746353149414
2016-01-19,-0.5,0.5,-1.0,1.0,28.5,17.821556091308594
2016-01-20,-0.5,0.5,-1.0,1.0,28.040000915527344,18.014116287231445
2016-01-21,0.5,-0.5,1.0,-1.0,28.93000030517578,18.06225776672364
2016-01-22,0.5,-0.5,1.0,-1.0,30.11000061035156,18.582172393798828
2016-01-25,0.5,-0.5,1.0,-1.0,29.86000061035156,18.351099014282227
2016-01-26,-0.5,0.5,-1.0,1.0,28.549999237060547,17.773414611816406
2016-01-27,0.5,-0.5,1.0,-1.0,28.459999084472656,17.66750717163086
2016-01-28,-0.5,0.5,-1.0,1.0,28.56999969482422,17.86969757080078
2016-01-29,-0.5,0.5,-1.0,1.0,29.57999992370605,18.813247680664062
2016-02-01,0.5,-0.5,1.0,-1.0,29.709999084472656,18.216306686401367
2016-02-02,0.5,-0.5,1.0,-1.0,29.290000915527344,17.60011100769043
2016-02-03,0.5,-0.5,1.0,-1.0,29.82999992370605,17.69639015197754
2016-02-04,0.5,-0.5,1.0,-1.0,30.290000915527344,17.888952255249023
2016-02-05,0.5000000000000001,-0.4999999999999999,1.0,-1.0,27.63999938964844,16.868377685546875
2016-02-08,0.5,-0.5,1.0,-1.0,25.950000762939453,16.232925415039062
2016-02-09,0.5000000000000001,-0.4999999999999999,1.0,-1.0,26.040000915527344,16.348461151123047
2016-02-10,0.4999999999999999,-0.5000000000000001,1.0,-1.0,33.38999938964844,16.483253479003906
2016-02-11,0.49999999999999994,-0.5000000000000001,1.0,-1.0,33.279998779296875,16.319578170776367
2016-02-12,0.5,-0.5,1.0,-1.0,34.38999938964844,16.42548370361328
2016-02-16,-0.5,0.5,-1.0,1.0,36.75,16.521766662597656
2016-02-17,-0.5,0.5,-1.0,1.0,37.70000076293945,17.234243392944336
2016-02-18,-0.5000000000000001,0.4999999999999999,-1.0,1.0,38.13999938964844,17.18610382080078
2016-02-19,-0.5,0.5,-1.0,1.0,37.18999862670898,19.073204040527344
2016-02-22,-0.49999999999999994,0.5,-1.0,1.0,37.29999923706055,20.074525833129883
