Date,Cluster,Ticker,Action,Shares_Qty,Close,Final_Weight,Position,Score_MR,Score_Mom,Score_VB,Score_XSR,Score_Val
2015-11-09,cluster_technology_software-application,IDCC,WAIT,0,44.5,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-09,cluster_technology_software-application,NICE,WAIT,0,60.9,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-10,cluster_technology_software-application,IDCC,WAIT,0,44.82,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-10,cluster_technology_software-application,NICE,WAIT,0,60.6,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-11,cluster_technology_software-application,IDCC,WAIT,0,45.23,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-11,cluster_technology_software-application,NICE,WAIT,0,60.48,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-12,cluster_technology_software-application,IDCC,WAIT,0,43.88,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-12,cluster_technology_software-application,NICE,WAIT,0,60.71,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-13,cluster_technology_software-application,IDCC,WAIT,0,43.53,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-13,cluster_technology_software-application,NICE,WAIT,0,60.02,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-16,cluster_technology_software-application,IDCC,WAIT,0,43.81,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-16,cluster_technology_software-application,NICE,WAIT,0,61.19,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-17,cluster_technology_software-application,IDCC,WAIT,0,43.61,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-17,cluster_technology_software-application,NICE,WAIT,0,61.75,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-18,cluster_technology_software-application,IDCC,WAIT,0,43.68,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-18,cluster_technology_software-application,NICE,WAIT,0,63.15,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-19,cluster_technology_software-application,IDCC,WAIT,0,43.74,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-19,cluster_technology_software-application,NICE,WAIT,0,63.24,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-20,cluster_technology_software-application,IDCC,WAIT,0,43.58,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-20,cluster_technology_software-application,NICE,WAIT,0,63.77,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-23,cluster_technology_software-application,IDCC,WAIT,0,44.14,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-23,cluster_technology_software-application,NICE,WAIT,0,62.76,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-24,cluster_technology_software-application,IDCC,WAIT,0,43.38,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-24,cluster_technology_software-application,NICE,WAIT,0,63.2,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-25,cluster_technology_software-application,IDCC,WAIT,0,43.61,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-25,cluster_technology_software-application,NICE,WAIT,0,62.82,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-27,cluster_technology_software-application,IDCC,WAIT,0,43.83,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-27,cluster_technology_software-application,NICE,WAIT,0,62.24,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-30,cluster_technology_software-application,IDCC,WAIT,0,43.78,0.0,0.0,,0.0,0.0,0.0,0.0
2015-11-30,cluster_technology_software-application,NICE,WAIT,0,60.73,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-01,cluster_technology_software-application,IDCC,WAIT,0,43.97,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-01,cluster_technology_software-application,NICE,WAIT,0,61.79,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-02,cluster_technology_software-application,IDCC,WAIT,0,43.17,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-02,cluster_technology_software-application,NICE,WAIT,0,61.77,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-03,cluster_technology_software-application,IDCC,WAIT,0,42.4,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-03,cluster_technology_software-application,NICE,WAIT,0,59.43,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-04,cluster_technology_software-application,IDCC,WAIT,0,43.43,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-04,cluster_technology_software-application,NICE,WAIT,0,60.6,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-07,cluster_technology_software-application,IDCC,WAIT,0,42.94,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-07,cluster_technology_software-application,NICE,WAIT,0,58.66,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-08,cluster_technology_software-application,IDCC,OPEN_LONG,11759853,42.52,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-08,cluster_technology_software-application,NICE,OPEN_SHORT,8571119,58.34,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-09,cluster_technology_software-application,IDCC,HOLD_LONG,11970397,41.77,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-09,cluster_technology_software-application,NICE,HOLD_SHORT,8614886,58.04,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-10,cluster_technology_software-application,IDCC,HOLD_LONG,12132093,41.21,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-10,cluster_technology_software-application,NICE,HOLD_SHORT,8562418,58.39,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-11,cluster_technology_software-application,IDCC,OPEN_SHORT,12178748,41.06,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-11,cluster_technology_software-application,NICE,OPEN_LONG,8890297,56.24,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-14,cluster_technology_software-application,IDCC,OPEN_LONG,12546954,39.85,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-14,cluster_technology_software-application,NICE,OPEN_SHORT,8859173,56.44,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-15,cluster_technology_software-application,IDCC,HOLD_LONG,12562668,39.8,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-15,cluster_technology_software-application,NICE,HOLD_SHORT,8706770,57.43,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-16,cluster_technology_software-application,IDCC,OPEN_SHORT,12414933,40.27,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-16,cluster_technology_software-application,NICE,OPEN_LONG,8626633,57.96,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-17,cluster_technology_software-application,IDCC,OPEN_LONG,12681805,39.43,0.5,1.0,,0.0,0.0,1.0,0.0
2015-12-17,cluster_technology_software-application,NICE,OPEN_SHORT,8578383,58.29,-0.5,-1.0,,0.0,0.0,0.0,0.0
2015-12-18,cluster_technology_software-application,IDCC,OPEN_SHORT,12849704,38.91,-0.5,-1.0,,0.0,0.0,0.0,0.0
