Date,Weight_IDCC,Weight_NICE,Pos_IDCC,Pos_NICE,Close_IDCC,Close_NICE
2015-11-09,0.0,0.0,0.0,0.0,44.49508285522461,60.90397644042969
2015-11-10,0.0,0.0,0.0,0.0,44.81913375854492,60.59772872924805
2015-11-11,0.0,0.0,0.0,0.0,45.23458480834961,60.47917938232422
2015-11-12,0.0,0.0,0.0,0.0,43.88021469116211,60.70639801025391
2015-11-13,0.0,0.0,0.0,0.0,43.53122329711914,60.02473831176758
2015-11-16,0.0,0.0,0.0,0.0,43.80542755126953,61.19046401977539
2015-11-17,0.0,0.0,0.0,0.0,43.60601806640625,61.753562927246094
2015-11-18,0.0,0.0,0.0,0.0,43.68079376220703,63.14650344848633
2015-11-19,0.0,0.0,0.0,0.0,43.738956451416016,63.23541641235352
2015-11-20,0.0,0.0,0.0,0.0,43.581085205078125,63.76888656616211
2015-11-23,0.0,0.0,0.0,0.0,44.137794494628906,62.76122283935547
2015-11-24,0.0,0.0,0.0,0.0,43.38167190551758,63.195899963378906
2015-11-25,0.0,0.0,0.0,0.0,43.60601806640625,62.82049560546875
2015-11-27,0.0,0.0,0.0,0.0,43.83034896850586,62.23763656616211
2015-11-30,0.0,0.0,0.0,0.0,43.78051376342773,60.72615814208984
2015-12-01,0.0,0.0,0.0,0.0,43.97161102294922,61.79308319091797
2015-12-02,0.0,0.0,0.0,0.0,43.16563034057617,61.7733268737793
2015-12-03,0.0,0.0,0.0,0.0,42.40119934082031,59.4320068359375
2015-12-04,0.0,0.0,0.0,0.0,43.431522369384766,60.59772872924805
2015-12-07,0.0,0.0,0.0,0.0,42.94129943847656,58.66144561767578
2015-12-08,0.5,-0.5,1.0,-1.0,42.51753616333008,58.33543395996094
2015-12-09,0.5,-0.5,1.0,-1.0,41.76970672607422,58.03907012939453
2015-12-10,0.5,-0.5,1.0,-1.0,41.2130012512207,58.39471435546875
2015-12-11,-0.5,0.5,-1.0,1.0,41.05512237548828,56.2410888671875
2015-12-14,0.5,-0.5,1.0,-1.0,39.85030746459961,56.43867111206055
2015-12-15,0.5,-0.5,1.0,-1.0,39.80046081542969,57.42657470703125
2015-12-16,-0.5,0.5,-1.0,1.0,40.27407836914063,57.96003723144531
2015-12-17,0.5,-0.5,1.0,-1.0,39.42656326293945,58.286041259765625
2015-12-18,-0.5,0.5,-1.0,1.0,38.911399841308594,57.18947219848633
2015-12-21,-0.5,0.5,-1.0,1.0,39.28529739379883,56.79431915283203
2015-12-22,-0.5,0.5,-1.0,1.0,40.066349029541016,56.45843124389648
2015-12-23,0.5,-0.5,1.0,-1.0,39.67581558227539,56.95237731933594
2015-12-24,0.5,-0.5,1.0,-1.0,39.60934829711914,57.03141021728516
2015-12-28,-0.5,0.5,-1.0,1.0,41.00526428222656,57.979793548583984
2015-12-29,-0.5,0.5,-1.0,1.0,41.8527946472168,58.1971321105957
2015-12-30,-0.5,0.5,-1.0,1.0,41.869422912597656,57.7822151184082
2015-12-31,0.5,-0.5,1.0,-1.0,40.74769973754883,56.62636947631836
2016-01-04,0.5,-0.5,1.0,-1.0,40.2491455078125,55.9546012878418
2016-01-05,0.5,-0.5,1.0,-1.0,40.11620330810547,56.95237731933594
2016-01-06,0.5,-0.5,1.0,-1.0,39.68413543701172,56.47818374633789
2016-01-07,0.5,-0.5,1.0,-1.0,38.56239700317383,55.4310188293457
2016-01-08,-0.5,0.5,-1.0,1.0,38.171875,54.86791229248047
2016-01-11,0.5,-0.5,1.0,-1.0,38.1051139831543,55.73725891113281
