index,ticker,sectorKey,industryKey
278,NEXM,basic-materials,other-industrial-metals-mining
280,AAPL,technology,consumer-electronics
283,NAGE,healthcare,biotechnology
284,MIDD,industrials,specialty-industrial-machinery
285,WAFD,financial-services,banks-regional
286,CWBC,financial-services,banks-regional
288,AOSL,technology,semiconductors
289,BCRX,healthcare,drug-manufacturers-specialty-generic
291,GCBC,financial-services,banks-regional
292,FCNCA,financial-services,banks-regional
293,ARCC,financial-services,asset-management
294,ARKR,consumer-cyclical,restaurants
296,SLAB,technology,semiconductors
297,INSE,consumer-cyclical,gambling
298,STRR,industrials,conglomerates
299,LRCX,technology,semiconductor-equipment-materials
300,BWEN,industrials,specialty-industrial-machinery
301,JBLU,industrials,airlines
302,PCTY,technology,software-application
303,MGYR,financial-services,banks-regional
304,UBSI,financial-services,banks-regional
305,PRQR,healthcare,biotechnology
306,MFIN,financial-services,credit-services
308,CAAS,consumer-cyclical,auto-parts
310,VSAT,technology,communication-equipment
311,XRX,technology,information-technology-services
312,FTNT,technology,software-infrastructure
313,HURA,healthcare,biotechnology
314,EFSC,financial-services,banks-regional
315,BYFC,financial-services,banks-regional
316,CINF,financial-services,insurance-property-casualty
317,LNT,utilities,utilities-regulated-electric
318,REFR,technology,electronic-components
319,UONEK,communication-services,broadcasting
320,RDI,communication-services,entertainment
321,OPI,real-estate,reit-office
323,CFFI,financial-services,banks-regional
324,BHRB,financial-services,banks-regional
325,MARA,financial-services,capital-markets
326,HSIC,healthcare,medical-distribution
329,HQY,healthcare,health-information-services
330,WKSP,consumer-cyclical,auto-parts
331,DXPE,industrials,industrial-distribution
332,SBCF,financial-services,banks-regional
336,TOWN,financial-services,banks-regional
338,CPSH,technology,electronic-components
340,OMEX,basic-materials,other-industrial-metals-mining
341,KMB,consumer-defensive,household-personal-products
342,RCON,energy,oil-gas-equipment-services
343,ABUS,healthcare,biotechnology
345,SENEA,consumer-defensive,packaged-foods
346,POAI,healthcare,health-information-services
347,FORM,technology,semiconductor-equipment-materials
348,SSSS,financial-services,asset-management
350,SFST,financial-services,banks-regional
351,SFBC,financial-services,banks-regional
352,WLFC,industrials,rental-leasing-services
353,CTBI,financial-services,banks-regional
354,ZION,financial-services,banks-regional
355,CSWC,financial-services,asset-management
356,LPCN,healthcare,biotechnology
357,RGS,consumer-cyclical,personal-services
