Date,Adj Close,Close,High,Low,Open,Volume,Symbol,Security Name
,SPY,SPY,SPY,SPY,SPY,SPY,,
12/4/2015,177.1317291,209.6199951,209.9700012,205.6100006,205.6100006,192913900,SPY,SPDR S&P 500 ETF Trust
12/7/2015,176.05867,208.3500061,209.7299957,207.1999969,209.2299957,102027100,SPY,SPDR S&P 500 ETF Trust
12/8/2015,174.8755798,206.9499969,208.2899933,205.7799988,206.4900055,103372400,SPY,SPDR S&P 500 ETF Trust
12/9/2015,173.5151367,205.3399963,208.6799927,204.1799927,206.1900024,162401500,SPY,SPDR S&P 500 ETF Trust
12/10/2015,173.9629822,205.8699951,207.4299927,205.1399994,205.4199982,116128900,SPY,SPDR S&P 500 ETF Trust
12/11/2015,170.5914001,201.8800049,204.1399994,201.5099945,203.3500061,211173300,SPY,SPDR S&P 500 ETF Trust
12/14/2015,171.4533234,202.8999939,203.0500031,199.9499969,202.0700073,182385200,SPY,SPDR S&P 500 ETF Trust
12/15/2015,173.2531891,205.0299988,206.1100006,202.8699951,204.6999969,154069600,SPY,SPDR S&P 500 ETF Trust
12/16/2015,175.7882233,208.0299988,208.3899994,204.8000031,206.3699951,197017000,SPY,SPDR S&P 500 ETF Trust
12/17/2015,173.1094971,204.8600006,208.4799957,204.8399963,208.3999939,173092500,SPY,SPDR S&P 500 ETF Trust
12/18/2015,170.025589,200.0200043,202.9299927,199.8300018,202.7700043,251393500,SPY,SPDR S&P 500 ETF Trust
12/21/2015,171.4281464,201.6699982,201.8800049,200.0899963,201.4100037,99094300,SPY,SPDR S&P 500 ETF Trust
12/22/2015,172.9837341,203.5,203.8500061,201.5500031,202.7200012,111026200,SPY,SPDR S&P 500 ETF Trust
12/23/2015,175.125824,206.0200043,206.0700073,204.5800018,204.6900024,110987200,SPY,SPDR S&P 500 ETF Trust
12/24/2015,174.8368073,205.6799927,206.3300018,205.4199982,205.7200012,48539600,SPY,SPDR S&P 500 ETF Trust
12/28/2015,174.4373169,205.2100067,205.2599945,203.9400024,204.8600006,65899900,SPY,SPDR S&P 500 ETF Trust
12/29/2015,176.2989044,207.3999939,207.7899933,206.4700012,206.5099945,92640700,SPY,SPDR S&P 500 ETF Trust
12/30/2015,175.0493469,205.9299927,207.2100067,205.7599945,207.1100006,63317700,SPY,SPDR S&P 500 ETF Trust
12/31/2015,173.2982178,203.8699951,205.8899994,203.8699951,205.1300049,114877900,SPY,SPDR S&P 500 ETF Trust
1/4/2016,170.8755798,201.0200043,201.0299988,198.5899963,200.4900055,222353500,SPY,SPDR S&P 500 ETF Trust
1/5/2016,171.1646118,201.3600006,201.8999939,200.0500031,201.3999939,110845800,SPY,SPDR S&P 500 ETF Trust
1/6/2016,169.0054932,198.8200073,200.0599976,197.6000061,198.3399963,152112600,SPY,SPDR S&P 500 ETF Trust
1/7/2016,164.9507904,194.0500031,197.4400024,193.5899963,195.3300018,213436100,SPY,SPDR S&P 500 ETF Trust
1/8/2016,163.140213,191.9199982,195.8500061,191.5800018,195.1900024,209817200,SPY,SPDR S&P 500 ETF Trust
1/11/2016,163.3017273,192.1100006,193.4100037,189.8200073,193.0099945,187941300,SPY,SPDR S&P 500 ETF Trust
1/12/2016,164.6193085,193.6600037,194.5500031,191.1399994,193.8200073,172330500,SPY,SPDR S&P 500 ETF Trust
1/13/2016,160.5135956,188.8300018,194.8600006,188.3800049,194.4499969,221168900,SPY,SPDR S&P 500 ETF Trust
1/14/2016,163.1487122,191.9299927,193.2599945,187.6600037,189.5500031,240795600,SPY,SPDR S&P 500 ETF Trust
1/15/2016,159.6465302,187.8099976,188.7599945,185.5200043,186.7700043,324846400,SPY,SPDR S&P 500 ETF Trust
1/19/2016,159.8591003,188.0599976,190.1100006,186.1999969,189.9600067,195244400,SPY,SPDR S&P 500 ETF Trust
1/20/2016,157.8104553,185.6499939,187.5,181.0200043,185.0299988,286547800,SPY,SPDR S&P 500 ETF Trust
1/21/2016,158.6945038,186.6900024,188.8699951,184.6399994,186.2100067,195772900,SPY,SPDR S&P 500 ETF Trust
1/22/2016,161.9501495,190.5200043,190.7599945,188.8800049,189.7799988,168319600,SPY,SPDR S&P 500 ETF Trust
1/25/2016,159.5020142,187.6399994,190.1499939,187.4100037,189.9199982,130371700,SPY,SPDR S&P 500 ETF Trust
1/26/2016,161.6781158,190.1999969,190.5299988,188.0200043,188.4199982,141036800,SPY,SPDR S&P 500 ETF Trust
1/27/2016,159.9185638,188.1300049,191.5599976,187.0599976,189.5800018,185681700,SPY,SPDR S&P 500 ETF Trust
1/28/2016,160.7515717,189.1100006,190.1999969,187.1600037,189.9600067,143798800,SPY,SPDR S&P 500 ETF Trust
1/29/2016,164.6703033,193.7200012,193.8800049,189.8800049,190.0200043,210529300,SPY,SPDR S&P 500 ETF Trust
2/1/2016,164.6107635,193.6499939,194.5800018,191.8399963,192.5299988,136061600,SPY,SPDR S&P 500 ETF Trust
2/2/2016,161.6441498,190.1600037,191.9700012,189.5399933,191.9600067,182564900,SPY,SPDR S&P 500 ETF Trust
2/3/2016,162.6132355,191.3000031,191.7799988,187.1000061,191.4100037,205054900,SPY,SPDR S&P 500 ETF Trust
2/4/2016,162.8682098,191.6000061,192.75,189.9600067,190.7100067,139531800,SPY,SPDR S&P 500 ETF Trust
2/5/2016,159.7655334,187.9499969,191.6699982,187.1999969,190.9900055,180788300,SPY,SPDR S&P 500 ETF Trust
2/8/2016,157.6148682,185.4199982,186.1199951,182.8000031,185.7700043,191526700,SPY,SPDR S&P 500 ETF Trust
2/9/2016,157.6234131,185.4299927,186.9400024,183.1999969,183.3600006,184513100,SPY,SPDR S&P 500 ETF Trust
