Date,Weight_PATK,Weight_TILE,Pos_PATK,Pos_TILE,Close_PATK,Close_TILE
2015-11-09,0.0,0.0,0.0,0.0,15.138378143310549,17.774866104125977
2015-11-10,0.0,0.0,0.0,0.0,15.34423542022705,17.535537719726562
2015-11-11,0.0,0.0,0.0,0.0,15.352155685424805,17.397459030151367
2015-11-12,0.0,0.0,0.0,0.0,15.015657424926758,17.176542282104492
2015-11-13,0.0,0.0,0.0,0.0,15.237348556518556,17.323823928833008
2015-11-16,0.0,0.0,0.0,0.0,15.209637641906738,17.784076690673828
2015-11-17,0.0,0.0,0.0,0.0,16.207250595092773,18.051023483276367
2015-11-18,0.0,0.0,0.0,0.0,15.843043327331545,18.71377754211425
2015-11-19,0.0,0.0,0.0,0.0,15.823246002197266,18.48365592956543
2015-11-20,0.0,0.0,0.0,0.0,15.898463249206545,18.69536781311035
2015-11-23,0.0,0.0,0.0,0.0,16.147869110107422,18.548084259033203
2015-11-24,0.0,0.0,0.0,0.0,15.969721794128418,18.6861629486084
2015-11-25,0.0,0.0,0.0,0.0,16.373516082763672,18.71377754211425
2015-11-27,0.0,0.0,0.0,0.0,16.167659759521484,18.83344459533692
2015-11-30,0.0,0.0,0.0,0.0,16.40123176574707,18.2995548248291
2015-12-01,0.0,0.0,0.0,0.0,16.63479995727539,18.51127052307129
2015-12-02,0.0,0.0,0.0,0.0,17.196945190429688,18.97152328491211
2015-12-03,0.0,0.0,0.0,0.0,16.844615936279297,18.6401424407959
2015-12-04,0.0,0.0,0.0,0.0,16.611047744750977,18.170684814453125
2015-12-07,0.0,0.0,0.0,0.0,16.234954833984375,17.968175888061523
2015-12-08,0.5,-0.5,1.0,-1.0,16.120153427124023,17.922147750854492
2015-12-09,-0.5,0.5,-1.0,1.0,15.9103364944458,17.397459030151367
2015-12-10,0.5,-0.5,1.0,-1.0,16.033061981201172,17.55394744873047
2015-12-11,-0.5,0.5,-1.0,1.0,15.854915618896484,17.167341232299805
2015-12-14,-0.5,0.5,-1.0,1.0,15.930131912231444,17.15813636779785
2015-12-15,0.5,-0.5,1.0,-1.0,15.870753288269045,17.388261795043945
2015-12-16,0.5,-0.5,1.0,-1.0,16.088485717773438,17.719636917114258
2015-12-17,-0.5,0.5,-1.0,1.0,16.013267517089844,17.102903366088867
2015-12-18,0.5,-0.5,1.0,-1.0,15.514463424682615,17.12131690979004
2015-12-21,0.5,-0.5,1.0,-1.0,15.455082893371582,17.3514461517334
2015-12-22,-0.5,0.5,-1.0,1.0,16.24683952331543,17.572359085083008
2015-12-23,-0.5,0.5,-1.0,1.0,16.559579849243164,17.738046646118164
2015-12-24,-0.5,0.5,-1.0,1.0,16.670421600341797,17.59076690673828
2015-12-28,-0.5,0.5,-1.0,1.0,16.856489181518555,17.54474449157715
2015-12-29,0.5,-0.5,1.0,-1.0,17.062347412109375,18.354785919189453
2015-12-30,-0.5,0.5,-1.0,1.0,17.058385848999023,18.106250762939453
2015-12-31,-0.5,0.5,-1.0,1.0,17.22068977355957,17.618389129638672
2016-01-04,0.5,-0.5,1.0,-1.0,16.488319396972656,17.04767608642578
2016-01-05,0.5,-0.5,1.0,-1.0,15.823246002197266,17.029273986816406
2016-01-06,-0.5,0.5,-1.0,1.0,15.953885078430176,16.504575729370117
2016-01-07,-0.5,0.5,-1.0,1.0,16.044937133789062,15.418389320373535
2016-01-08,0.5,-0.5,1.0,-1.0,14.8612642288208,15.648518562316896
2016-01-11,0.5,-0.5,1.0,-1.0,14.405999183654783,15.79578971862793
2016-01-12,-0.5,0.5,-1.0,1.0,14.714784622192385,15.851027488708496
2016-01-13,0.5,-0.5,1.0,-1.0,13.269832611083984,15.271109580993652
2016-01-14,-0.5,0.5,-1.0,1.0,13.65383529663086,15.556461334228516
2016-01-15,0.5,-0.5,1.0,-1.0,12.89770793914795,15.050189018249512
2016-01-19,-0.5,0.5,-1.0,1.0,13.09168815612793,14.82006549835205
2016-01-20,-0.5,0.5,-1.0,1.0,13.408390998840332,14.82006549835205
2016-01-21,0.5,-0.5,1.0,-1.0,13.071895599365234,14.461071014404297
2016-01-22,-0.5,0.5,-1.0,1.0,13.831982612609863,14.68199062347412
2016-01-25,0.5,-0.5,1.0,-1.0,12.984798431396484,14.59914207458496
2016-01-26,0.5,-0.5,1.0,-1.0,13.32129955291748,15.013365745544434
2016-01-27,-0.5,0.5,-1.0,1.0,13.25399684906006,14.783243179321287
2016-01-28,0.5,-0.5,1.0,-1.0,13.333174705505373,15.160649299621582
2016-01-29,-0.5,0.5,-1.0,1.0,13.835941314697266,15.547258377075195
2016-02-01,0.5,-0.5,1.0,-1.0,13.816143989562988,15.584080696105955
2016-02-02,-0.5,0.5,-1.0,1.0,13.81218719482422,15.050189018249512
2016-02-03,0.5,-0.5,1.0,-1.0,13.392556190490724,15.160649299621582
2016-02-04,0.5,-0.5,1.0,-1.0,13.380678176879885,15.436795234680176
2016-02-05,-0.5,0.5,-1.0,1.0,12.90958309173584,14.654373168945312
2016-02-08,0.5000000000000001,-0.5,1.0,-1.0,12.759153366088867,14.580732345581056
2016-02-09,0.49999999999999994,-0.5000000000000001,1.0,-1.0,11.59922695159912,14.313786506652832
2016-02-10,-0.5,0.5,-1.0,1.0,11.911970138549805,14.62675952911377
2016-02-11,-0.5,0.5,-1.0,1.0,12.636427879333496,14.295376777648926
2016-02-12,0.5,-0.49999999999999994,1.0,-1.0,12.83832550048828,14.82006549835205
