Date,Close,High,Low,Open,Volume,Symbol,Security Name
,PHIO,PHIO,PHIO,PHIO,PHIO,,
2015-11-09,254232.0,267894.0,243540.0,266112.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-10,261360.0,261360.0,237600.0,249480.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-11,260766.0,267300.0,251262.0,267300.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-12,249480.0,261360.0,243540.0,261360.0,0,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-13,250074.0,264924.0,246510.0,258390.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-16,237600.0,252450.0,236412.0,243540.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-17,231660.0,237600.0,227502.0,237006.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-18,230472.0,237600.0,230472.0,231660.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-19,231660.0,231660.0,227502.0,228690.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-20,225720.0,237600.0,223344.0,231660.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-23,231660.0,237600.0,225720.0,231660.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-24,229284.0,235224.0,226314.0,235224.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-25,231660.0,237600.0,226908.0,229878.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-27,225720.0,231660.0,225126.0,226908.0,0,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-11-30,251856.0,258390.0,225720.0,231660.0,2,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-01,248292.0,255420.0,215622.0,249480.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-02,237600.0,246510.0,225720.0,241164.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-03,234036.0,239382.0,231660.0,237600.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-04,234630.0,234630.0,225720.0,231660.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-07,219780.0,235224.0,211464.0,225720.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-08,243540.0,249480.0,219780.0,219780.0,3,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-09,226908.0,253638.0,224532.0,243540.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-10,234630.0,249480.0,225720.0,225720.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-11,231066.0,243540.0,225720.0,225720.0,0,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-14,223344.0,242946.0,222156.0,235224.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-15,224532.0,240570.0,220374.0,223344.0,1,PHIO,Phio Pharmaceuticals Corp. - Common Stock
2015-12-16,231660.0,234630.0,222750.0,222750.0,0,PHIO,Phio Pharmaceuticals Corp. - Common Stock
