Date,Close,High,Low,Open,Volume,Symbol,Security Name
,UBFO,UBFO,UBFO,UBFO,UBFO,,
2015-11-09,3.314016580581665,3.314016580581665,3.295257964026391,3.295257964026391,3264,UBFO,United Security Bancshares - Common Stock
2015-11-10,3.263993263244629,3.3140163384548273,3.263993263244629,3.276499108085343,1938,UBFO,United Security Bancshares - Common Stock
2015-11-11,3.295257806777954,3.326522267595709,3.282751961620319,3.301510577280439,31113,UBFO,United Security Bancshares - Common Stock
2015-11-12,3.332775354385376,3.3327753543853764,3.282752273160209,3.2890050442560943,7651,UBFO,United Security Bancshares - Common Stock
2015-11-13,3.30776309967041,3.339027251115627,3.2827514135310993,3.3327744816571068,2550,UBFO,United Security Bancshares - Common Stock
2015-11-16,3.30776309967041,3.3077630996704106,3.3077630996704106,3.3077630996704106,0,UBFO,United Security Bancshares - Common Stock
2015-11-17,3.30776309967041,3.3077630996704106,3.276498644072579,3.3077630996704106,14383,UBFO,United Security Bancshares - Common Stock
2015-11-18,3.2827513217926025,3.31401577651673,3.2577396363522584,3.307763007232947,2856,UBFO,United Security Bancshares - Common Stock
2015-11-19,3.332775354385376,3.3452812007298416,3.2890050442560943,3.3140167369450255,19076,UBFO,United Security Bancshares - Common Stock
2015-11-20,3.30776309967041,3.3327744816571068,3.2827514135310993,3.3140158691289305,8671,UBFO,United Security Bancshares - Common Stock
2015-11-23,3.314016580581665,3.3327751971369386,3.314016580581665,3.3327751971369386,918,UBFO,United Security Bancshares - Common Stock
2015-11-24,3.3265228271484375,3.3265228271484375,3.276499742256205,3.276499742256205,510,UBFO,United Security Bancshares - Common Stock
2015-11-25,3.332775354385376,3.3390281254812617,3.2764995020643237,3.3390281254812617,2346,UBFO,United Security Bancshares - Common Stock
2015-11-27,3.332775354385376,3.3327753543853764,3.3327753543853764,3.3327753543853764,0,UBFO,United Security Bancshares - Common Stock
2015-11-30,3.2827513217926025,3.3265216192369023,3.27649855250882,3.282751321792603,1326,UBFO,United Security Bancshares - Common Stock
2015-12-01,3.314016580581665,3.3577868886457574,3.301510734827256,3.3327751971369386,17546,UBFO,United Security Bancshares - Common Stock
