Date,Close,High,Low,Open,Volume,Symbol,Security Name
,KOPN,KOPN,KOPN,KOPN,KOPN,,
2015-11-09,3.0899999141693115,3.130000114440918,3.0399999618530273,3.130000114440918,46400,KOPN,Kopin Corporation - Common Stock
2015-11-10,3.0,3.0799999237060547,3.0,3.0799999237060547,116700,KOPN,Kopin Corporation - Common Stock
2015-11-11,3.009999990463257,3.0399999618530273,2.9600000381469727,3.0,50100,KOPN,Kopin Corporation - Common Stock
2015-11-12,2.9200000762939453,2.990000009536743,2.9200000762939453,2.9800000190734863,125300,KOPN,Kopin Corporation - Common Stock
2015-11-13,2.9100000858306885,2.930000066757202,2.869999885559082,2.880000114440918,43700,KOPN,Kopin Corporation - Common Stock
2015-11-16,2.9000000953674316,2.950000047683716,2.869999885559082,2.890000104904175,126400,KOPN,Kopin Corporation - Common Stock
2015-11-17,2.7899999618530273,2.890000104904175,2.7899999618530273,2.890000104904175,145700,KOPN,Kopin Corporation - Common Stock
2015-11-18,2.859999895095825,2.9100000858306885,2.7799999713897705,2.7799999713897705,218600,KOPN,Kopin Corporation - Common Stock
2015-11-19,2.8399999141693115,2.880000114440918,2.819999933242798,2.8399999141693115,51300,KOPN,Kopin Corporation - Common Stock
2015-11-20,2.8499999046325684,2.9000000953674316,2.8299999237060547,2.859999895095825,114500,KOPN,Kopin Corporation - Common Stock
2015-11-23,2.869999885559082,2.890000104904175,2.8299999237060547,2.8299999237060547,90000,KOPN,Kopin Corporation - Common Stock
2015-11-24,2.9000000953674316,2.950000047683716,2.8299999237060547,2.8499999046325684,80300,KOPN,Kopin Corporation - Common Stock
2015-11-25,2.950000047683716,2.9700000286102295,2.890000104904175,2.9000000953674316,80200,KOPN,Kopin Corporation - Common Stock
2015-11-27,2.950000047683716,2.9700000286102295,2.9100000858306885,2.930000066757202,35800,KOPN,Kopin Corporation - Common Stock
2015-11-30,2.869999885559082,2.9600000381469727,2.8499999046325684,2.940000057220459,146700,KOPN,Kopin Corporation - Common Stock
2015-12-01,2.9200000762939453,2.950000047683716,2.880000114440918,2.880000114440918,39100,KOPN,Kopin Corporation - Common Stock
2015-12-02,2.869999885559082,2.9600000381469727,2.859999895095825,2.940000057220459,81600,KOPN,Kopin Corporation - Common Stock
2015-12-03,2.880000114440918,2.940000057220459,2.869999885559082,2.890000104904175,85600,KOPN,Kopin Corporation - Common Stock
2015-12-04,2.880000114440918,2.9200000762939453,2.869999885559082,2.869999885559082,46900,KOPN,Kopin Corporation - Common Stock
2015-12-07,2.799999952316284,2.880000114440918,2.799999952316284,2.859999895095825,142200,KOPN,Kopin Corporation - Common Stock
